title,price,count,rating,brand,info_dict
Lee Cooper2023冬季新款羽绒服男潮牌面包服纯色网红同款韩版加厚款男士外套 090卡其羽绒服 XL,699.00,500+,100%,品牌： Lee Cooper,"{'商品名称': 'Lee Cooper2023冬季新款羽绒服男潮牌面包服纯色网红同款韩版加厚款男士外套 090卡其羽绒服 XL', '商品编号': '10087018435785', '店铺': 'Lee Cooper心达成专卖店', '商品毛重': '300.00g', '货号': 'AFASAS-5317374340', '绒子含量': '80%-89%', '填充物': '鸭绒', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '穿着方式': '开衫', '充绒量': '100-149g', '上市时间': '2023年秋季', '领型': '立领', '适用人群': '青年，青少年', '流行元素': '多口袋', '厚度': '加厚', '风格': '休闲风', '衣长': '常规款', '图案': '纯色', '适用场景': '滑雪，露营'}"
I'M DAVID外套秋冬男士韩版加绒加厚防寒保暖宽松运动连帽夹克男 灰色 2XL,128.00,1000+,97%,品牌： I'M DAVID,"{'商品名称': ""I'M DAVID009G-2232A"", '商品编号': '100072918152', '商品毛重': '470.00g', '商品产地': '福建省泉州市', '货号': '009G-2232A', '材质': '涤纶(聚酯纤维)97%，氨纶(聚氨酯弹性纤维)3%', '版型': '宽松型', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '翻领', '适用人群': '青年，青少年', '厚度': '加绒', '衣长': '常规款', '风格': '运动风', '衣门襟': '拉链', '图案': '字母', '适用场景': '旅行，学校'}"
回力外套男加绒保暖冬季连帽卫衣男宽松休闲针织开衫运动外套黑色,109.00,1万+,93%,品牌： 回力（Warrior）,"{'商品名称': '回力开衫卫衣', '商品编号': '100069812434', '商品毛重': '0.72kg', '商品产地': '中国大陆', '货号': 'LA331A11120', '适用性别': '男', '穿着方式': '开衫', '流行元素': 'LOGO', '上市时间': '2024年春季', '材质': '涤纶(聚酯纤维)', '适用季节': '四季通用，春季', '领型': '连帽', '衣长': '常规款'}"
花花公子（PLAYBOY）卫衣男外套冬季羊羔绒保暖连帽开衫男装字母印花长袖男 黑色 L,68.00,2万+,92%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子卫衣', '商品编号': '100014696117', '商品毛重': '410.00g', '商品产地': '中国福建', '货号': '020405FSA516', '材质': '涤纶(聚酯纤维)100%', '厚度': '常规', '版型': '标准型', '适用季节': '秋季，冬季', '工艺': '水洗', '上市时间': '2023年秋季', '领型': '连帽', '适用人群': '青少年，青年', '流行元素': '印花', '风格': '百搭风', '袖型': '落肩袖', '穿着方式': '开衫', '图案': '字母，拼色', '适用场景': '居家，旅行'}"
回力外套男连帽防风夹克男秋冬季加绒保暖冲锋衣休闲上衣男装,139.00,2000+,95%,品牌： 回力,"{'商品名称': '回力男士夹克', '商品编号': '100069486122', '商品毛重': '0.6kg', '商品产地': '中国大陆', '货号': 'LA331A12032', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '春季，秋季', '上市时间': '2023年秋季', '领型': '连帽', '适用人群': '青年，青少年', '流行元素': '简约，印花', '风格': '百搭风', '厚度': '加绒', '版型': '标准型', '衣长': '常规款'}"
回力运动棉服马甲男加厚秋冬季外套男篮足球户外休闲保暖防寒无袖棉衣,99.00,5000+,95%,品牌： 回力（Warrior）,"{'商品名称': '回力马甲', '商品编号': '100065150476', '商品毛重': '0.51kg', '商品产地': '中国大陆', '货号': 'L241A31004', '领型': '立领', '材质': '涤纶(聚酯纤维)100%', '流行元素': 'LOGO', '上市时间': '2023年冬季', '适用季节': '冬季', '功能': '保暖', '衣长': '常规款'}"
Lee Cooper外套男春秋季夹克男生街头休闲马褂百搭潮流冬季新款男装 2230黑色 3XL,399.00,500+,97%,品牌： Lee Cooper,"{'商品名称': 'Lee Cooper外套男春秋季夹克男生街头休闲马褂百搭潮流冬季新款男装 2230黑色 3XL', '商品编号': '10058788769759', '店铺': 'Lee Cooper蓝朝专卖店', '商品毛重': '100.00g', '货号': 'SF2002S', '材质': '涤纶(聚酯纤维)99.9%', '衣门襟': '拉链', '衣长': '常规款', '领型': '连帽', '适用人群': '青年', '厚度': '常规', '版型': '标准型', '风格': '百搭风', '上市时间': '2022年秋季', '图案': '纯色', '适用场景': '旅行'}"
京东京造【air+零压羽绒】轻薄羽绒服男外套冬立领白鸭绒 曜石黑XL,199.00,5万+,97%,品牌： 京东京造,"{'商品名称': '京东京造京东京造 轻型羽绒服', '商品编号': '100028037451', '商品毛重': '340.00g', '商品产地': '中国大陆', '货号': '6941592786887', '材质': '锦纶/尼龙(聚酰胺纤维)100%', '版型': '标准型', '填充物': '鸭绒', '上市时间': '2022年冬季', '厚度': '轻薄', '穿着方式': '开衫', '充绒量': '100g以下', '衣长': '常规款', '风格': '休闲风', '领型': '立领', '图案': '纯色', '适用人群': '青年，中年'}"
花花公子（PLAYBOY）夹克男士外套男装秋冬季潮牌工装宽松休闲连帽冲锋衣服,199.00,5000+,96%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子男士夹克', '商品编号': '100034879163', '商品毛重': '0.65kg', '商品产地': '中国福建省晋江市', '货号': 'Q-BDHH8026ZY', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '春季，秋季', '上市时间': '2024年春季', '厚度': '常规', '适用人群': '青年，青少年', '流行元素': '简约，印花', '领型': '连帽', '衣长': '常规款', '衣门襟': '拉链', '图案': '纯色', '适用场景': '职场，旅行', '风格': '日韩风', '日韩风': '韩版'}"
AEMAPEAEMAPE 棉衣男冬季男士连帽休闲棉袄男装棉服男9206 黑色 XL,138.00,2万+,95%,品牌： AEMAPE,"{'商品名称': 'AEMAPE棉衣男', '商品编号': '100005614669', '商品毛重': '0.66kg', '商品产地': '中国福建', '货号': '9206', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用人群': '青年', '衣长': '常规款', '厚度': '厚款', '穿着方式': '开衫', '填充物': '涤纶(聚酯纤维)', '版型': '标准型', '领型': '连帽', '上市时间': '2023年冬季', '图案': '字母', '流行元素': '撞色', '风格': '休闲风', '休闲风': 'oversize'}"
